"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "comment", "blank", "total"
"/Users/bruno1388/Desktop/trans/react-app/src/components/notifications/Notifications.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 9, 69
"/Users/bruno1388/Desktop/trans/react-app/src/components/notifications/index.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"/Users/bruno1388/Desktop/trans/react-app/src/components/notifications/notifications.module.scss", "SCSS", 0, 0, 57, 0, 0, 9, 66
"/Users/bruno1388/Desktop/trans/react-app/src/components/pong/Ball.ts", "TypeScript", 120, 0, 0, 0, 0, 20, 140
"/Users/bruno1388/Desktop/trans/react-app/src/components/pong/Pong.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 14, 105
"/Users/bruno1388/Desktop/trans/react-app/src/components/pong/index.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"/Users/bruno1388/Desktop/trans/react-app/src/components/pong/pong.module.scss", "SCSS", 0, 0, 29, 0, 25, 5, 59
"/Users/bruno1388/Desktop/trans/react-app/src/context/auth.context.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 10, 61
"/Users/bruno1388/Desktop/trans/react-app/src/context/chat.context.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 12, 59
"/Users/bruno1388/Desktop/trans/react-app/src/context/feature.context.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 9, 41
"/Users/bruno1388/Desktop/trans/react-app/src/context/index.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"/Users/bruno1388/Desktop/trans/react-app/src/context/notifications.context.tsx", "TypeScript JSX", 0, 81, 0, 0, 1, 12, 94
"/Users/bruno1388/Desktop/trans/react-app/src/context/socket-context.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 6, 19
"/Users/bruno1388/Desktop/trans/react-app/src/context/socket.context.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 6, 19
"/Users/bruno1388/Desktop/trans/react-app/src/context/theme.context.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 6, 31
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/index.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 11
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/invitation/useInvitation.tsx", "TypeScript JSX", 0, 154, 0, 0, 4, 17, 175
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/index.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/useBall.tsx", "TypeScript JSX", 0, 70, 0, 0, 3, 11, 84
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/useGame.tsx", "TypeScript JSX", 0, 59, 0, 0, 4, 10, 73
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/useLoadGame.tsx", "TypeScript JSX", 0, 39, 0, 0, 1, 7, 47
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/usePaddle.tsx", "TypeScript JSX", 0, 68, 0, 0, 3, 12, 83
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useAxios.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 7, 38
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useInterval.tsx", "TypeScript JSX", 0, 16, 0, 0, 2, 4, 22
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useKeyboard.tsx", "TypeScript JSX", 0, 24, 0, 0, 10, 7, 41
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useLocalStorage.ts", "TypeScript", 19, 0, 0, 0, 0, 6, 25
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useQuery.tsx", "TypeScript JSX", 0, 15, 0, 0, 3, 3, 21
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useSocket.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 5, 21
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useTheme.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 4, 17
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useTimeout.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 4, 20
"/Users/bruno1388/Desktop/trans/react-app/src/index.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 3, 31
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Enable2FA.tsx", "TypeScript JSX", 0, 82, 0, 0, 110, 16, 208
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Home.tsx", "TypeScript JSX", 0, 83, 0, 0, 2, 9, 94
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Login.tsx", "TypeScript JSX", 0, 87, 0, 0, 1, 12, 100
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Play.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 8, 100
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Settings.tsx", "TypeScript JSX", 0, 191, 0, 0, 1, 18, 210
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Subscribe.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 12, 113
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Verify2FA.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 10, 64
"/Users/bruno1388/Desktop/trans/react-app/src/pages/index.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"/Users/bruno1388/Desktop/trans/react-app/src/pages/styles/home.scss", "SCSS", 0, 0, 61, 0, 0, 6, 67
"/Users/bruno1388/Desktop/trans/react-app/src/utils/pong.utils.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 3, 27
"Total", "-", 299, 2820, 815, 258, 269, 611, 5072
