Date : 2023-03-19 19:02:53
Directory : /Users/bruno1388/Desktop/trans/server/src
Total : 79 files,  2416 codes, 273 comments, 448 blanks, all 3137 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         79 |      2,416 |        273 |        448 |      3,137 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/BlockedUser.entity.ts        | TypeScript |         14 |          0 |          6 |         20 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/Channel.entity.ts            | TypeScript |         40 |          1 |         14 |         55 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/ChannelUser.entity.ts        | TypeScript |         27 |          0 |          8 |         35 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/Message.entity.ts            | TypeScript |         25 |          0 |          8 |         33 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/MutedUser.entity.ts          | TypeScript |         14 |          0 |          6 |         20 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/index.ts                     | TypeScript |          5 |          0 |          1 |          6 |
| /Users/bruno1388/Desktop/trans/server/src/chat/message/message.module.ts             | TypeScript |         10 |          0 |          3 |         13 |
| /Users/bruno1388/Desktop/trans/server/src/chat/message/message.service.ts            | TypeScript |         56 |          0 |          5 |         61 |
| /Users/bruno1388/Desktop/trans/server/src/chat/muted/muted.module.ts                 | TypeScript |         10 |          0 |          3 |         13 |
| /Users/bruno1388/Desktop/trans/server/src/chat/muted/muted.service.ts                | TypeScript |          3 |          0 |          2 |          5 |
| /Users/bruno1388/Desktop/trans/server/src/clients/clients.controller.ts              | TypeScript |         24 |          0 |          5 |         29 |
| /Users/bruno1388/Desktop/trans/server/src/clients/clients.module.ts                  | TypeScript |          9 |          0 |          2 |         11 |
| /Users/bruno1388/Desktop/trans/server/src/clients/clients.service.ts                 | TypeScript |         30 |          2 |          7 |         39 |
| /Users/bruno1388/Desktop/trans/server/src/clients/dto/updateClient.dto.ts            | TypeScript |         11 |          0 |          4 |         15 |
| /Users/bruno1388/Desktop/trans/server/src/database.module.ts                         | TypeScript |         12 |         12 |          2 |         26 |
| /Users/bruno1388/Desktop/trans/server/src/game/dto/gameInvitation.dto.ts             | TypeScript |         14 |          0 |          5 |         19 |
| /Users/bruno1388/Desktop/trans/server/src/game/dto/gameResponse.dto.ts               | TypeScript |         13 |          0 |          5 |         18 |
| /Users/bruno1388/Desktop/trans/server/src/game/game.controller.ts                    | TypeScript |         18 |          2 |          4 |         24 |
| /Users/bruno1388/Desktop/trans/server/src/game/game.module.ts                        | TypeScript |         11 |          0 |          2 |         13 |
