"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"/Users/bruno1388/Desktop/trans/react-app/src/components/pong/index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/bruno1388/Desktop/trans/react-app/src/components/pong/pong.module.scss", "SCSS", 0, 0, 29, 25, 5, 59
"/Users/bruno1388/Desktop/trans/react-app/src/context/auth.context.tsx", "TypeScript JSX", 0, 51, 0, 0, 10, 61
"/Users/bruno1388/Desktop/trans/react-app/src/context/chat.context.tsx", "TypeScript JSX", 0, 52, 0, 1, 12, 65
"/Users/bruno1388/Desktop/trans/react-app/src/context/feature.context.tsx", "TypeScript JSX", 0, 32, 0, 0, 9, 41
"/Users/bruno1388/Desktop/trans/react-app/src/context/index.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"/Users/bruno1388/Desktop/trans/react-app/src/context/notifications.context.tsx", "TypeScript JSX", 0, 81, 0, 1, 12, 94
"/Users/bruno1388/Desktop/trans/react-app/src/context/socket.context.tsx", "TypeScript JSX", 0, 13, 0, 0, 6, 19
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/index.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/invitation/useInvitation.tsx", "TypeScript JSX", 0, 154, 0, 4, 17, 175
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/useBall.tsx", "TypeScript JSX", 0, 70, 0, 3, 11, 84
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/useGame.tsx", "TypeScript JSX", 0, 59, 0, 4, 10, 73
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/useLoadGame.tsx", "TypeScript JSX", 0, 39, 0, 1, 7, 47
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/pong/usePaddle.tsx", "TypeScript JSX", 0, 68, 0, 3, 12, 83
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useAxios.tsx", "TypeScript JSX", 0, 31, 0, 0, 7, 38
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useInterval.tsx", "TypeScript JSX", 0, 16, 0, 2, 4, 22
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useKeyboard.tsx", "TypeScript JSX", 0, 24, 0, 10, 7, 41
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useLocalStorage.ts", "TypeScript", 19, 0, 0, 0, 6, 25
