Date : 2023-03-13 05:34:52
Directory : /Users/bruno1388/Desktop/trans/server/src
Total : 74 files,  2037 codes, 257 comments, 403 blanks, all 2697 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         73 |      2,037 |        257 |        402 |      2,696 |
| TypeScript JSX |          1 |          0 |          0 |          1 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/bruno1388/Desktop/trans/server/src/chat/dtos/MessageValidation.dto.ts         | TypeScript     |         21 |          0 |          7 |         28 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/BlockedUser.entity.ts        | TypeScript     |         14 |          0 |          6 |         20 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/Channel.entity.ts            | TypeScript     |         40 |          1 |         14 |         55 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/ChannelUser.entity.ts        | TypeScript     |         27 |          0 |          8 |         35 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/Message.entity.ts            | TypeScript     |         18 |          0 |          8 |         26 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/MutedUser.entity.ts          | TypeScript     |         14 |          0 |          6 |         20 |
| /Users/bruno1388/Desktop/trans/server/src/chat/entities/index.ts                     | TypeScript     |          5 |          0 |          1 |          6 |
| /Users/bruno1388/Desktop/trans/server/src/chat/message/message.module.ts             | TypeScript     |         10 |          0 |          3 |         13 |
| /Users/bruno1388/Desktop/trans/server/src/chat/message/message.service.ts            | TypeScript     |          3 |          0 |          2 |          5 |
| /Users/bruno1388/Desktop/trans/server/src/chat/muted/muted.module.ts                 | TypeScript     |         10 |          0 |          3 |         13 |
| /Users/bruno1388/Desktop/trans/server/src/chat/muted/muted.service.ts                | TypeScript     |          3 |          0 |          2 |          5 |
| /Users/bruno1388/Desktop/trans/server/src/client/client.tsx                          | TypeScript JSX |          0 |          0 |          1 |          1 |
| /Users/bruno1388/Desktop/trans/server/src/database.module.ts                         | TypeScript     |         12 |         12 |          2 |         26 |
| /Users/bruno1388/Desktop/trans/server/src/game/game.controller.ts                    | TypeScript     |          3 |          0 |          2 |          5 |
| /Users/bruno1388/Desktop/trans/server/src/game/game.gateway.ts                       | TypeScript     |          8 |          0 |          2 |         10 |
| /Users/bruno1388/Desktop/trans/server/src/game/game.module.ts                        | TypeScript     |          8 |          0 |          2 |         10 |
| /Users/bruno1388/Desktop/trans/server/src/gateway/gateway.module.ts                  | TypeScript     |         10 |          0 |          2 |         12 |
| /Users/bruno1388/Desktop/trans/server/src/gateway/gateway.ts                         | TypeScript     |         54 |         11 |          8 |         73 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/InvitationPong.ts              | TypeScript     |         26 |          1 |          4 |         31 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/GameBall.dto.ts           | TypeScript     |         12 |          0 |          4 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/GameFrame.dto.ts          | TypeScript     |         12 |          0 |          4 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/InvitationOpponent.dto.ts | TypeScript     |          9 |          0 |          3 |         12 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/InvitationRequest.dto.ts  | TypeScript     |          9 |          0 |          3 |         12 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/InvitationResponse.dto.ts | TypeScript     |         12 |          0 |          4 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/RoomStatut.dto.ts         | TypeScript     |          9 |          0 |          4 |         13 |
| /Users/bruno1388/Desktop/trans/server/src/main.ts                                    | TypeScript     |         19 |          9 |          6 |         34 |
| /Users/bruno1388/Desktop/trans/server/src/match/entities/Match.entity.ts             | TypeScript     |          0 |          0 |          1 |          1 |
