"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"/Users/bruno1388/Desktop/trans/server/src/pong/pong.module.ts", "TypeScript", 10, 0, 0, 2, 12
"/Users/bruno1388/Desktop/trans/server/src/pong/pong.service.ts", "TypeScript", 29, 0, 0, 4, 33
"/Users/bruno1388/Desktop/trans/server/src/users/dtos/Friend.dto.ts", "TypeScript", 16, 0, 0, 4, 20
"/Users/bruno1388/Desktop/trans/server/src/users/dtos/User.dto.ts", "TypeScript", 11, 0, 1, 2, 14
"/Users/bruno1388/Desktop/trans/server/src/users/dtos/UserValidation.dto.ts", "TypeScript", 59, 0, 29, 25, 113
"/Users/bruno1388/Desktop/trans/server/src/users/entities/Friend.entity.ts", "TypeScript", 25, 0, 0, 7, 32
"/Users/bruno1388/Desktop/trans/server/src/users/entities/User.entity.ts", "TypeScript", 46, 0, 10, 19, 75
"/Users/bruno1388/Desktop/trans/server/src/users/friend/friend.module.ts", "TypeScript", 15, 0, 0, 3, 18
"/Users/bruno1388/Desktop/trans/server/src/users/friend/friend.service.ts", "TypeScript", 81, 0, 0, 7, 88
"/Users/bruno1388/Desktop/trans/server/src/users/users.controller.ts", "TypeScript", 87, 0, 28, 12, 127
"/Users/bruno1388/Desktop/trans/server/src/users/users.module.ts", "TypeScript", 14, 0, 0, 2, 16
"/Users/bruno1388/Desktop/trans/server/src/users/users.service.ts", "TypeScript", 70, 0, 22, 17, 109
"/Users/bruno1388/Desktop/trans/server/src/utils/types.ts", "TypeScript", 36, 0, 6, 6, 48
"Total", "-", 2037, 0, 257, 403, 2697
